marca,capacidade,avaliacao_energia,tipo,funcionalidades,cores,material,periodo_garantia,pais_fabricacao,preco,mediana_capacidade
Panasonic,369.0,A++,Single Door,Smart Connectivity,Silver,Stainless Steel,5.0,Germany,1231.0,469.0
GE,619.0,A,Side-by-Side,Smart Connectivity,White,Glass,8.0,Germany,267.0,447.0
GE,309.0,A,Single Door,Ice Dispenser,Black,Stainless Steel,7.0,India,477.0,447.0
LG,662.0,B,Side-by-Side,Ice Dispenser,Gray,Plastic,8.0,India,1099.0,431.0
Bosch,533.0,B,Double Door,Water Dispenser,Gray,Plastic,5.0,India,993.0,434.5
GE,371.0,A++,Single Door,Smart Connectivity,Silver,Glass,4.0,Germany,462.0,446.0
GE,288.0,B,Double Door,Smart Connectivity,White,Glass,6.0,USA,1906.0,471.0
Siemens,671.0,A,Single Door,Smart Connectivity,White,Stainless Steel,4.0,India,940.0,476.0
Bosch,492.0,B,Side-by-Side,Ice Dispenser,Silver,Plastic,5.0,Germany,499.0,434.5
GE,287.0,A+,Side-by-Side,Ice Dispenser,Black,Glass,2.0,India,1097.0,403.0
LG,529.0,B,Side-by-Side,Ice Dispenser,Silver,Glass,3.0,China,1106.0,431.0
GE,647.0,A,Double Door,Smart Connectivity,Gray,Stainless Steel,5.0,India,1438.0,447.0
GE,621.0,A,Double Door,Smart Connectivity,Gray,Plastic,2.0,USA,1828.0,447.0
Haier,342.0,B,Single Door,Smart Connectivity,White,Stainless Steel,6.0,Germany,1990.0,440.0
GE,198.0,B,Side-by-Side,Water Dispenser,White,Stainless Steel,2.0,China,1718.0,471.0
Haier,529.0,A++,Side-by-Side,Ice Dispenser,Black,Plastic,5.0,China,1828.0,434.5
Panasonic,680.0,A++,Single Door,Smart Connectivity,Black,Glass,3.0,USA,725.0,469.0
Panasonic,557.0,A,Single Door,Smart Connectivity,Silver,Plastic,9.0,China,1751.0,463.0
Panasonic,224.0,A++,Side-by-Side,Smart Connectivity,Black,Plastic,3.0,USA,1165.0,469.0
LG,749.0,A+,Single Door,Smart Connectivity,Black,Plastic,5.0,China,888.0,453.0
Haier,455.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,1.0,China,1079.0,469.0
Siemens,515.0,B,Single Door,Ice Dispenser,Black,Glass,8.0,China,1573.0,450.5
Samsung,594.0,B,Side-by-Side,Water Dispenser,Silver,Stainless Steel,4.0,USA,315.0,447.0
Bosch,451.0,A+,Side-by-Side,Water Dispenser,Silver,Plastic,4.0,India,1453.0,446.5
Siemens,679.0,A++,Side-by-Side,Smart Connectivity,Gray,Glass,6.0,China,413.0,469.0
Bosch,477.0,B,Double Door,Smart Connectivity,Black,Plastic,1.0,China,215.0,434.5
Frigidaire,746.0,A++,Double Door,Ice Dispenser,White,Stainless Steel,5.0,USA,1086.0,436.0
Frigidaire,730.0,B,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,8.0,USA,1385.0,429.5
Panasonic,275.0,B,Side-by-Side,Ice Dispenser,White,Stainless Steel,1.0,India,439.0,466.0
GE,692.0,A++,Double Door,Smart Connectivity,Black,Stainless Steel,3.0,Germany,627.0,446.0
Haier,435.0,A,Side-by-Side,Smart Connectivity,Silver,Glass,2.0,China,1885.0,469.0
Bosch,751.0,B,Side-by-Side,Smart Connectivity,White,Glass,9.0,Germany,1362.0,434.5
Electrolux,431.5,B,Single Door,Smart Connectivity,Silver,Glass,5.0,Germany,293.0,431.5
GE,789.0,A++,Side-by-Side,Ice Dispenser,Silver,Plastic,4.0,USA,1349.0,446.0
GE,150.0,A,Side-by-Side,Smart Connectivity,Silver,Plastic,5.0,China,493.0,447.0
Siemens,365.0,A+,Side-by-Side,Smart Connectivity,Gray,Glass,3.0,USA,983.0,455.0
Panasonic,149.0,A+,Single Door,Smart Connectivity,Silver,Stainless Steel,3.0,Germany,887.0,430.0
Siemens,447.0,A,Double Door,Smart Connectivity,Black,Plastic,6.0,China,762.0,476.0
GE,661.0,A,Side-by-Side,Smart Connectivity,Black,Plastic,2.0,China,614.0,447.0
Siemens,726.0,B,Single Door,Ice Dispenser,White,Plastic,4.0,India,1939.0,450.5
Electrolux,594.0,A++,Single Door,Smart Connectivity,Gray,Glass,1.0,USA,504.0,431.0
Whirlpool,245.0,B,Side-by-Side,Water Dispenser,White,Glass,6.0,USA,638.0,461.0
Haier,443.0,A+,Side-by-Side,Water Dispenser,White,Stainless Steel,9.0,Germany,1034.0,444.0
Samsung,632.0,B,Single Door,Water Dispenser,Silver,Plastic,9.0,India,1287.0,447.0
GE,405.0,A+,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,7.0,China,518.0,403.0
Bosch,736.0,B,Single Door,Smart Connectivity,Silver,Plastic,4.0,USA,1957.0,434.5
Whirlpool,590.0,B,Double Door,Water Dispenser,Silver,Stainless Steel,6.0,USA,1205.0,461.0
Bosch,419.0,B,Double Door,Smart Connectivity,White,Glass,8.0,Germany,545.0,434.5
GE,327.0,B,Single Door,Smart Connectivity,White,Plastic,4.0,Germany,360.0,471.0
Electrolux,164.0,A++,Single Door,Smart Connectivity,White,Glass,5.0,Germany,708.0,431.0
Panasonic,469.0,B,Side-by-Side,Water Dispenser,White,Stainless Steel,2.0,USA,701.0,466.0
Electrolux,616.0,A+,Double Door,Smart Connectivity,Black,Glass,5.0,Germany,1926.0,461.0
Bosch,748.0,A++,Side-by-Side,Water Dispenser,Black,Plastic,2.0,China,1300.0,441.5
GE,495.0,A+,Double Door,Smart Connectivity,Silver,Plastic,1.0,India,1751.0,403.0
